,16Hz,31.5Hz,63Hz,125Hz,250Hz,500Hz,1000Hz,2000Hz,4000Hz,8000Hz,target
2,0.0,0.013835688228455528,0.13923238128084303,0.19914389829364246,0.20693410844495808,0.2024672537380331,1.0,0.980489806713926,0.21257523517313975,0.20785057463851844,Andean Guan
3,0.0,4.95979693917099e-05,0.0016382563078632727,0.06710272663635905,0.23340908797907078,0.36002478806127586,0.963711014965564,1.0,0.048459786472433715,0.01790849186704343,Andean Guan
4,0.0,4.95979693917099e-05,0.0016382563078632727,0.06710272663635905,0.23340908797907078,0.36002478806127586,0.963711014965564,1.0,0.048459786472433715,0.01790849186704343,Andean Guan
5,0.0,4.95979693917099e-05,0.0016382563078632727,0.06710272663635905,0.23340908797907078,0.36002478806127586,0.963711014965564,1.0,0.048459786472433715,0.01790849186704343,Andean Guan
6,0.00018111321431977335,0.0,0.00010436480965809752,0.0005457818222179853,0.020743559814094835,0.23651295466369884,0.8634797991006352,1.0,0.23453455982232346,0.1249215032857752,Andean Guan
7,0.13069243634661784,1.0,0.7598395249875082,0.07550825372253156,0.04447794420021519,0.07092063321046917,0.10527204612685434,0.06685157389948132,0.010263421491408726,0.0,Andean Guan
8,0.7875970216185388,1.0,0.2443679109254389,0.2781046728883956,0.6805710139808887,0.12458779414910302,0.05079077330935792,0.028054159619229,0.010572326668738702,0.0,Andean Guan
9,0.057203542870809865,0.049259280952066234,0.051510525031443405,0.02999562356403353,0.06343581163294298,0.22447016243405357,1.0,0.47945374600520696,0.07284163858226816,0.0,Andean Guan
10,0.0,0.004228686131037331,0.020498613232717865,0.000913031656751819,0.013175115381489732,0.12227792647115614,1.0,0.7370422313987988,0.10393001307926321,0.024204461963860495,Andean Guan
11,0.0,0.0146430193623701,0.023263316020034678,0.08162070810115961,0.315239131397075,0.4866896305466044,0.7924812314480792,1.0,0.28787429106171336,0.000631037372345907,Andean Guan
12,0.009987822916292946,0.11097460649873035,0.1309166301652498,0.2271543425388816,0.294043959337777,0.3017399542583204,1.0,0.2364100170801025,0.04979392516769055,0.0,Andean Guan
13,0.009987822916292946,0.11097460649873035,0.1309166301652498,0.2271543425388816,0.294043959337777,0.3017399542583204,1.0,0.2364100170801025,0.04979392516769055,0.0,Andean Guan
14,0.006243501551325257,0.1440242081151898,1.0,0.9384589914054579,0.45616939164584613,0.41744065003239617,0.696818653590089,0.2644653599841279,0.030285971100863857,0.0,Andean Guan
15,0.41212054616962646,0.5671094971589046,0.6964950067249671,0.5457251153117032,0.3601661579403199,0.18752335013917776,0.34160799805548314,1.0,0.45575886694913137,0.0,Andean Guan
16,0.0,0.23423020009795625,1.0,0.4725370795744074,0.25247068020197533,0.17723696383499432,0.15832712389463868,0.2803594269375879,0.11165983190714188,0.011341413244439463,Andean Guan
17,1.0,0.5207433405270113,0.19798187051974547,0.05779056849079132,0.018750858433692515,0.057148644583005205,0.5379003597462996,0.25410791354140727,0.018521364080409906,0.0,Andean Guan
18,1.0,0.4037331995164936,0.16519264626555527,0.05438929147453658,0.028174260595051497,0.10473009031692457,0.5353162035411859,0.3277529862374468,0.008838808988933768,0.0,Andean Guan
19,1.0,0.7051363313855351,0.34873661851661314,0.19344653575765908,0.15551139537530637,0.18182068335501378,0.39266496736452244,0.21421534427421554,0.019796045267485924,0.0,Andean Guan
20,1.0,0.7051363313855351,0.34873661851661314,0.19344653575765908,0.15551139537530637,0.18182068335501378,0.39266496736452244,0.21421534427421554,0.019796045267485924,0.0,Andean Guan
21,1.0,0.7051363313855351,0.34873661851661314,0.19344653575765908,0.15551139537530637,0.18182068335501378,0.39266496736452244,0.21421534427421554,0.019796045267485924,0.0,Andean Guan
22,0.836936893866574,1.0,0.4162278011944925,0.2836388264677844,0.18437715417194767,0.12184842069252402,0.12383816120796522,0.1538962206522936,0.04517624182087816,0.0,Andean Guan
23,0.5627236861313949,1.0,0.4742845376436256,0.30722572748926785,0.15003181141832964,0.16551052816172251,0.2970304909959093,0.4386746045508679,0.04899047990634657,0.0,Andean Guan
24,0.7513011583785564,0.8331253690663055,0.6394002778241679,1.0,0.5540768267537401,0.4391310946232446,0.4707262348051513,0.3587003068591227,0.03201278788097919,0.0,Andean Guan
25,4.546688364669275e-06,0.0,4.3955194157307814e-05,0.014778897680591856,0.1976134537998457,0.2893156871468227,0.9339439667843006,1.0,0.13874022031028235,0.06193224568744529,Andean Guan
